geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,ind_string,valor,ano_referencia
1101,Alenquer,3,Edifício clássico de outro tipo,5,5 pisos,1,1,2021
1101,Alenquer,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",5,5 pisos,2,2,2021
1101,Alenquer,3,Edifício clássico de outro tipo,4,4 pisos,2,2,2021
1101,Alenquer,3,Edifício clássico de outro tipo,3,3 pisos,4,4,2021
1101,Alenquer,3,Edifício clássico de outro tipo,1,1 piso,8,8,2021
1101,Alenquer,3,Edifício clássico de outro tipo,2,2 pisos,12,12,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",1,1 piso,23,23,2021
1101,Alenquer,3,Edifício clássico de outro tipo,T,Total,27,27,2021
1101,Alenquer,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",4,4 pisos,73,73,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",2,2 pisos,94,94,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",3,3 pisos,96,96,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",6,6 pisos,114,114,2021
1101,Alenquer,T,Total,6,6 pisos,114,114,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",7,7 ou mais pisos,129,129,2021
1101,Alenquer,T,Total,7,7 ou mais pisos,129,129,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",4,4 pisos,157,157,2021
1101,Alenquer,T,Total,4,4 pisos,232,232,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",5,5 pisos,244,244,2021
1101,Alenquer,T,Total,5,5 pisos,247,247,2021
1101,Alenquer,2,"Edifício clássico, construído estruturalmente para possuir 3 ou mais alojamentos familiares",T,Total,857,857,2021
1101,Alenquer,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",3,3 pisos,1 032,1032,2021
1101,Alenquer,T,Total,3,3 pisos,1 132,1132,2021
1101,Alenquer,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",2,2 pisos,6 079,6079,2021
1101,Alenquer,T,Total,2,2 pisos,6 185,6185,2021
1101,Alenquer,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",1,1 piso,8 257,8257,2021
1101,Alenquer,T,Total,1,1 piso,8 288,8288,2021
1101,Alenquer,1,"Edifício clássico, construído estruturalmente para possuir 1 ou 2 alojamentos familiares",T,Total,15 443,15443,2021
1101,Alenquer,T,Total,T,Total,16 327,16327,2021
