geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,dim_5,dim_5_t,ind_string,valor,ano_referencia
11,Norte,1,H,3,20 - 24 anos,55,Doutoramento,28,28,2021
11,Norte,2,M,7,40 - 44 anos,51,Curso técnico superior profissional,43,43,2021
11,Norte,2,M,3,20 - 24 anos,55,Doutoramento,55,55,2021
11,Norte,T,HM,3,20 - 24 anos,55,Doutoramento,83,83,2021
11,Norte,2,M,2,15 - 19 anos,4,Ensino pós-secundário,86,86,2021
11,Norte,2,M,2,15 - 19 anos,5,Ensino superior,94,94,2021
11,Norte,2,M,2,15 - 19 anos,51,Curso técnico superior profissional,94,94,2021
11,Norte,1,H,7,40 - 44 anos,51,Curso técnico superior profissional,112,112,2021
11,Norte,2,M,10,55 - 59 anos,4,Ensino pós-secundário,146,146,2021
11,Norte,1,H,2,15 - 19 anos,4,Ensino pós-secundário,151,151,2021
11,Norte,2,M,6,35 - 39 anos,51,Curso técnico superior profissional,155,155,2021
11,Norte,T,HM,7,40 - 44 anos,51,Curso técnico superior profissional,155,155,2021
11,Norte,1,H,10,55 - 59 anos,4,Ensino pós-secundário,167,167,2021
11,Norte,2,M,14,75 ou mais anos,55,Doutoramento,184,184,2021
11,Norte,2,M,5,30 - 34 anos,52,Bacharelato,194,194,2021
11,Norte,1,H,2,15 - 19 anos,5,Ensino superior,202,202,2021
11,Norte,1,H,2,15 - 19 anos,51,Curso técnico superior profissional,202,202,2021
11,Norte,1,H,5,30 - 34 anos,52,Bacharelato,202,202,2021
11,Norte,2,M,13,70 - 74 anos,55,Doutoramento,202,202,2021
11,Norte,2,M,2,15 - 19 anos,21,1.º ciclo,203,203,2021
11,Norte,2,M,5,30 - 34 anos,51,Curso técnico superior profissional,218,218,2021
11,Norte,1,H,2,15 - 19 anos,21,1.º ciclo,229,229,2021
11,Norte,T,HM,2,15 - 19 anos,4,Ensino pós-secundário,237,237,2021
11,Norte,1,H,4,25 - 29 anos,55,Doutoramento,242,242,2021
11,Norte,2,M,3,20 - 24 anos,21,1.º ciclo,258,258,2021
11,Norte,2,M,14,75 ou mais anos,54,Mestrado,275,275,2021
11,Norte,T,HM,2,15 - 19 anos,5,Ensino superior,296,296,2021
11,Norte,T,HM,2,15 - 19 anos,51,Curso técnico superior profissional,296,296,2021
11,Norte,1,H,3,20 - 24 anos,21,1.º ciclo,303,303,2021
11,Norte,2,M,12,65 - 69 anos,55,Doutoramento,308,308,2021
11,Norte,T,HM,10,55 - 59 anos,4,Ensino pós-secundário,313,313,2021
11,Norte,2,M,13,70 - 74 anos,54,Mestrado,343,343,2021
11,Norte,2,M,4,25 - 29 anos,55,Doutoramento,358,358,2021
11,Norte,1,H,13,70 - 74 anos,55,Doutoramento,365,365,2021
11,Norte,1,H,14,75 ou mais anos,54,Mestrado,382,382,2021
11,Norte,T,HM,5,30 - 34 anos,52,Bacharelato,396,396,2021
11,Norte,2,M,4,25 - 29 anos,51,Curso técnico superior profissional,401,401,2021
11,Norte,1,H,6,35 - 39 anos,51,Curso técnico superior profissional,403,403,2021
11,Norte,1,H,14,75 ou mais anos,55,Doutoramento,429,429,2021
11,Norte,T,HM,2,15 - 19 anos,21,1.º ciclo,432,432,2021
11,Norte,1,H,13,70 - 74 anos,54,Mestrado,446,446,2021
11,Norte,2,M,4,25 - 29 anos,21,1.º ciclo,484,484,2021
11,Norte,1,H,5,30 - 34 anos,51,Curso técnico superior profissional,536,536,2021
11,Norte,1,H,12,65 - 69 anos,55,Doutoramento,537,537,2021
11,Norte,T,HM,6,35 - 39 anos,51,Curso técnico superior profissional,558,558,2021
11,Norte,T,HM,3,20 - 24 anos,21,1.º ciclo,561,561,2021
11,Norte,2,M,11,60 - 64 anos,55,Doutoramento,562,562,2021
11,Norte,T,HM,13,70 - 74 anos,55,Doutoramento,567,567,2021
11,Norte,1,H,4,25 - 29 anos,21,1.º ciclo,583,583,2021
11,Norte,2,M,2,15 - 19 anos,1,Nenhum,590,590,2021
11,Norte,T,HM,4,25 - 29 anos,55,Doutoramento,600,600,2021
11,Norte,T,HM,14,75 ou mais anos,55,Doutoramento,613,613,2021
11,Norte,1,H,5,30 - 34 anos,55,Doutoramento,644,644,2021
11,Norte,T,HM,14,75 ou mais anos,54,Mestrado,657,657,2021
11,Norte,2,M,3,20 - 24 anos,1,Nenhum,672,672,2021
11,Norte,1,H,2,15 - 19 anos,1,Nenhum,678,678,2021
11,Norte,1,H,11,60 - 64 anos,55,Doutoramento,727,727,2021
11,Norte,2,M,12,65 - 69 anos,54,Mestrado,727,727,2021
11,Norte,T,HM,5,30 - 34 anos,51,Curso técnico superior profissional,754,754,2021
11,Norte,2,M,3,20 - 24 anos,51,Curso técnico superior profissional,775,775,2021
11,Norte,1,H,3,20 - 24 anos,1,Nenhum,785,785,2021
11,Norte,T,HM,13,70 - 74 anos,54,Mestrado,789,789,2021
11,Norte,1,H,6,35 - 39 anos,55,Doutoramento,834,834,2021
11,Norte,1,H,12,65 - 69 anos,54,Mestrado,840,840,2021
11,Norte,T,HM,12,65 - 69 anos,55,Doutoramento,845,845,2021
11,Norte,1,H,10,55 - 59 anos,55,Doutoramento,861,861,2021
11,Norte,2,M,10,55 - 59 anos,55,Doutoramento,882,882,2021
11,Norte,2,M,9,50 - 54 anos,4,Ensino pós-secundário,928,928,2021
11,Norte,2,M,5,30 - 34 anos,55,Doutoramento,950,950,2021
11,Norte,2,M,9,50 - 54 anos,55,Doutoramento,980,980,2021
11,Norte,1,H,9,50 - 54 anos,55,Doutoramento,981,981,2021
11,Norte,1,H,4,25 - 29 anos,1,Nenhum,985,985,2021
11,Norte,1,H,8,45 - 49 anos,55,Doutoramento,987,987,2021
11,Norte,2,M,5,30 - 34 anos,21,1.º ciclo,1 007,1007,2021
11,Norte,2,M,4,25 - 29 anos,1,Nenhum,1 027,1027,2021
11,Norte,1,H,7,40 - 44 anos,55,Doutoramento,1 029,1029,2021
11,Norte,1,H,4,25 - 29 anos,51,Curso técnico superior profissional,1 042,1042,2021
11,Norte,T,HM,4,25 - 29 anos,21,1.º ciclo,1 067,1067,2021
11,Norte,2,M,3,20 - 24 anos,22,2.º ciclo,1 109,1109,2021
11,Norte,1,H,6,35 - 39 anos,52,Bacharelato,1 147,1147,2021
11,Norte,1,H,9,50 - 54 anos,4,Ensino pós-secundário,1 223,1223,2021
11,Norte,2,M,8,45 - 49 anos,55,Doutoramento,1 229,1229,2021
11,Norte,1,H,5,30 - 34 anos,1,Nenhum,1 253,1253,2021
11,Norte,T,HM,2,15 - 19 anos,1,Nenhum,1 268,1268,2021
11,Norte,T,HM,11,60 - 64 anos,55,Doutoramento,1 289,1289,2021
11,Norte,1,H,11,60 - 64 anos,54,Mestrado,1 293,1293,2021
11,Norte,1,H,11,60 - 64 anos,52,Bacharelato,1 310,1310,2021
11,Norte,1,H,10,55 - 59 anos,52,Bacharelato,1 325,1325,2021
11,Norte,2,M,6,35 - 39 anos,55,Doutoramento,1 369,1369,2021
11,Norte,2,M,6,35 - 39 anos,52,Bacharelato,1 377,1377,2021
11,Norte,2,M,5,30 - 34 anos,1,Nenhum,1 396,1396,2021
11,Norte,1,H,13,70 - 74 anos,52,Bacharelato,1 413,1413,2021
11,Norte,2,M,3,20 - 24 anos,4,Ensino pós-secundário,1 426,1426,2021
11,Norte,2,M,7,40 - 44 anos,55,Doutoramento,1 439,1439,2021
11,Norte,T,HM,4,25 - 29 anos,51,Curso técnico superior profissional,1 443,1443,2021
11,Norte,T,HM,3,20 - 24 anos,1,Nenhum,1 457,1457,2021
11,Norte,2,M,11,60 - 64 anos,54,Mestrado,1 484,1484,2021
11,Norte,2,M,11,60 - 64 anos,52,Bacharelato,1 566,1566,2021
11,Norte,T,HM,12,65 - 69 anos,54,Mestrado,1 567,1567,2021
11,Norte,2,M,8,45 - 49 anos,4,Ensino pós-secundário,1 587,1587,2021
11,Norte,T,HM,5,30 - 34 anos,55,Doutoramento,1 594,1594,2021
11,Norte,1,H,6,35 - 39 anos,1,Nenhum,1 648,1648,2021
11,Norte,2,M,10,55 - 59 anos,52,Bacharelato,1 656,1656,2021
11,Norte,1,H,9,50 - 54 anos,52,Bacharelato,1 659,1659,2021
11,Norte,1,H,12,65 - 69 anos,52,Bacharelato,1 664,1664,2021
11,Norte,1,H,5,30 - 34 anos,21,1.º ciclo,1 672,1672,2021
11,Norte,2,M,T,Total,51,Curso técnico superior profissional,1 686,1686,2021
11,Norte,2,M,6,35 - 39 anos,1,Nenhum,1 688,1688,2021
11,Norte,1,H,3,20 - 24 anos,51,Curso técnico superior profissional,1 716,1716,2021
11,Norte,T,HM,10,55 - 59 anos,55,Doutoramento,1 743,1743,2021
11,Norte,2,M,4,25 - 29 anos,22,2.º ciclo,1 808,1808,2021
11,Norte,1,H,14,75 ou mais anos,52,Bacharelato,1 815,1815,2021
11,Norte,1,H,8,45 - 49 anos,4,Ensino pós-secundário,1 865,1865,2021
11,Norte,1,H,7,40 - 44 anos,52,Bacharelato,1 888,1888,2021
11,Norte,1,H,10,55 - 59 anos,54,Mestrado,1 915,1915,2021
11,Norte,2,M,7,40 - 44 anos,4,Ensino pós-secundário,1 923,1923,2021
11,Norte,T,HM,9,50 - 54 anos,55,Doutoramento,1 961,1961,2021
11,Norte,T,HM,4,25 - 29 anos,1,Nenhum,2 012,2012,2021
11,Norte,2,M,6,35 - 39 anos,21,1.º ciclo,2 021,2021,2021
11,Norte,2,M,7,40 - 44 anos,52,Bacharelato,2 141,2141,2021
11,Norte,T,HM,9,50 - 54 anos,4,Ensino pós-secundário,2 151,2151,2021
11,Norte,T,HM,6,35 - 39 anos,55,Doutoramento,2 203,2203,2021
11,Norte,T,HM,8,45 - 49 anos,55,Doutoramento,2 216,2216,2021
11,Norte,1,H,3,20 - 24 anos,22,2.º ciclo,2 282,2282,2021
11,Norte,2,M,6,35 - 39 anos,4,Ensino pós-secundário,2 307,2307,2021
11,Norte,2,M,7,40 - 44 anos,1,Nenhum,2 339,2339,2021
11,Norte,2,M,9,50 - 54 anos,52,Bacharelato,2 359,2359,2021
11,Norte,1,H,8,45 - 49 anos,52,Bacharelato,2 381,2381,2021
11,Norte,2,M,4,25 - 29 anos,4,Ensino pós-secundário,2 383,2383,2021
11,Norte,1,H,7,40 - 44 anos,1,Nenhum,2 385,2385,2021
11,Norte,1,H,3,20 - 24 anos,4,Ensino pós-secundário,2 405,2405,2021
11,Norte,2,M,5,30 - 34 anos,4,Ensino pós-secundário,2 408,2408,2021
11,Norte,T,HM,7,40 - 44 anos,55,Doutoramento,2 468,2468,2021
11,Norte,T,HM,3,20 - 24 anos,51,Curso técnico superior profissional,2 491,2491,2021
11,Norte,1,H,9,50 - 54 anos,54,Mestrado,2 520,2520,2021
11,Norte,T,HM,6,35 - 39 anos,52,Bacharelato,2 524,2524,2021
11,Norte,2,M,10,55 - 59 anos,54,Mestrado,2 532,2532,2021
11,Norte,1,H,7,40 - 44 anos,4,Ensino pós-secundário,2 597,2597,2021
11,Norte,T,HM,5,30 - 34 anos,1,Nenhum,2 649,2649,2021
11,Norte,T,HM,5,30 - 34 anos,21,1.º ciclo,2 679,2679,2021
11,Norte,2,M,13,70 - 74 anos,52,Bacharelato,2 723,2723,2021
11,Norte,1,H,6,35 - 39 anos,21,1.º ciclo,2 730,2730,2021
11,Norte,T,HM,11,60 - 64 anos,54,Mestrado,2 777,2777,2021
11,Norte,T,HM,11,60 - 64 anos,52,Bacharelato,2 876,2876,2021
11,Norte,2,M,12,65 - 69 anos,52,Bacharelato,2 927,2927,2021
11,Norte,T,HM,10,55 - 59 anos,52,Bacharelato,2 981,2981,2021
11,Norte,2,M,8,45 - 49 anos,52,Bacharelato,3 138,3138,2021
11,Norte,1,H,8,45 - 49 anos,1,Nenhum,3 225,3225,2021
11,Norte,2,M,8,45 - 49 anos,1,Nenhum,3 227,3227,2021
11,Norte,1,H,6,35 - 39 anos,4,Ensino pós-secundário,3 259,3259,2021
11,Norte,1,H,3,20 - 24 anos,54,Mestrado,3 281,3281,2021
11,Norte,2,M,9,50 - 54 anos,54,Mestrado,3 312,3312,2021
11,Norte,T,HM,6,35 - 39 anos,1,Nenhum,3 336,3336,2021
11,Norte,T,HM,3,20 - 24 anos,22,2.º ciclo,3 391,3391,2021
11,Norte,T,HM,8,45 - 49 anos,4,Ensino pós-secundário,3 452,3452,2021
11,Norte,1,H,5,30 - 34 anos,4,Ensino pós-secundário,3 476,3476,2021
11,Norte,1,H,4,25 - 29 anos,22,2.º ciclo,3 479,3479,2021
11,Norte,1,H,4,25 - 29 anos,4,Ensino pós-secundário,3 530,3530,2021
11,Norte,1,H,8,45 - 49 anos,54,Mestrado,3 557,3557,2021
11,Norte,T,HM,3,20 - 24 anos,4,Ensino pós-secundário,3 831,3831,2021
11,Norte,1,H,T,Total,51,Curso técnico superior profissional,4 011,4011,2021
11,Norte,T,HM,9,50 - 54 anos,52,Bacharelato,4 018,4018,2021
11,Norte,T,HM,7,40 - 44 anos,52,Bacharelato,4 029,4029,2021
11,Norte,T,HM,13,70 - 74 anos,52,Bacharelato,4 136,4136,2021
11,Norte,1,H,13,70 - 74 anos,53,Licenciatura,4 142,4142,2021
