codigoine,distrito,concelho,freguesia
1101,LISBOA,ALENQUER,Carnota
1101,LISBOA,ALENQUER,Meca
1101,LISBOA,ALENQUER,Olhalvo
1101,LISBOA,ALENQUER,Ota
1101,LISBOA,ALENQUER,União das freguesias de Abrigada e Cabanas de Torres
1101,LISBOA,ALENQUER,União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha
1101,LISBOA,ALENQUER,União das freguesias de Alenquer (Santo Estêvão e Triana)
1101,LISBOA,ALENQUER,União das freguesias de Carregado e Cadafais
1101,LISBOA,ALENQUER,União das freguesias de Ribafria e Pereiro de Palhacana
1101,LISBOA,ALENQUER,Ventosa
1101,LISBOA,ALENQUER,Vila Verde dos Francos
1115,LISBOA,AMADORA,Alfragide
1115,LISBOA,AMADORA,Encosta do Sol
1115,LISBOA,AMADORA,Falagueira-Venda Nova
1115,LISBOA,AMADORA,Mina de Água
1115,LISBOA,AMADORA,Venteira
1115,LISBOA,AMADORA,Águas Livres
1102,LISBOA,ARRUDA DOS VINHOS,Arranhó
1102,LISBOA,ARRUDA DOS VINHOS,Arruda dos Vinhos
1102,LISBOA,ARRUDA DOS VINHOS,Cardosas
1102,LISBOA,ARRUDA DOS VINHOS,S. Tiago dos Velhos
1103,LISBOA,AZAMBUJA,Alcoentre
1103,LISBOA,AZAMBUJA,Aveiras de Baixo
1103,LISBOA,AZAMBUJA,Aveiras de Cima
1103,LISBOA,AZAMBUJA,Azambuja
1103,LISBOA,AZAMBUJA,"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa"
1103,LISBOA,AZAMBUJA,Vale do Paraíso
1103,LISBOA,AZAMBUJA,Vila Nova da Rainha
1104,LISBOA,CADAVAL,Alguber
1104,LISBOA,CADAVAL,Peral
1104,LISBOA,CADAVAL,União das freguesias de Lamas e Cercal
1104,LISBOA,CADAVAL,União das freguesias de Painho e Figueiros
1104,LISBOA,CADAVAL,União das freguesias do Cadaval e Pêro Moniz
1104,LISBOA,CADAVAL,Vermelha
1104,LISBOA,CADAVAL,Vilar
1105,LISBOA,CASCAIS,Alcabideche
1105,LISBOA,CASCAIS,São Domingos de Rana
1105,LISBOA,CASCAIS,União das freguesias de Carcavelos e Parede
1105,LISBOA,CASCAIS,União das freguesias de Cascais e Estoril
1106,LISBOA,LISBOA,Ajuda
1106,LISBOA,LISBOA,Alcântara
1106,LISBOA,LISBOA,Alvalade
1106,LISBOA,LISBOA,Areeiro
1106,LISBOA,LISBOA,Arroios
1106,LISBOA,LISBOA,Avenidas Novas
1106,LISBOA,LISBOA,Beato
1106,LISBOA,LISBOA,Belém
1106,LISBOA,LISBOA,Benfica
1106,LISBOA,LISBOA,Campo de Ourique
1106,LISBOA,LISBOA,Campolide
1106,LISBOA,LISBOA,Carnide
1106,LISBOA,LISBOA,Estrela
1106,LISBOA,LISBOA,Lumiar
1106,LISBOA,LISBOA,Marvila
1106,LISBOA,LISBOA,Misericórdia
1106,LISBOA,LISBOA,Olivais
