geocod,geodsg,dim_3,dim_3_t,dim_4,dim_4_t,dim_5,dim_5_t,ind_string,valor,ano_referencia
1101,Alenquer,1,H,011,15 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,011,15 anos,T,Total,0,0,2021
1101,Alenquer,1,H,012,16 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,012,16 anos,T,Total,0,0,2021
1101,Alenquer,1,H,065,44 anos,3,Viúvo,0,0,2021
1101,Alenquer,1,H,072,46 anos,3,Viúvo,0,0,2021
1101,Alenquer,1,H,112,66 anos,3,Viúvo,0,0,2021
1101,Alenquer,1,H,115,69 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,12,70 - 74 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,121,70 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,122,71 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,123,72 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,123,72 anos,4,Divorciado,0,0,2021
1101,Alenquer,1,H,124,73 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,124,73 anos,4,Divorciado,0,0,2021
1101,Alenquer,1,H,125,74 anos,1,Solteiro,0,0,2021
1101,Alenquer,1,H,13,75 ou mais anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,011,15 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,011,15 anos,T,Total,0,0,2021
1101,Alenquer,2,M,012,16 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,012,16 anos,T,Total,0,0,2021
1101,Alenquer,2,M,013,17 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,013,17 anos,T,Total,0,0,2021
1101,Alenquer,2,M,015,19 anos,2,Casado,0,0,2021
1101,Alenquer,2,M,022,21 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,025,24 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,115,69 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,115,69 anos,3,Viúvo,0,0,2021
1101,Alenquer,2,M,12,70 - 74 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,121,70 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,122,71 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,122,71 anos,3,Viúvo,0,0,2021
1101,Alenquer,2,M,122,71 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,123,72 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,123,72 anos,3,Viúvo,0,0,2021
1101,Alenquer,2,M,123,72 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,124,73 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,124,73 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,125,74 anos,1,Solteiro,0,0,2021
1101,Alenquer,2,M,125,74 anos,2,Casado,0,0,2021
1101,Alenquer,2,M,125,74 anos,3,Viúvo,0,0,2021
1101,Alenquer,2,M,125,74 anos,4,Divorciado,0,0,2021
1101,Alenquer,2,M,125,74 anos,T,Total,0,0,2021
1101,Alenquer,T,HM,011,15 anos,1,Solteiro,0,0,2021
1101,Alenquer,T,HM,011,15 anos,T,Total,0,0,2021
1101,Alenquer,T,HM,012,16 anos,1,Solteiro,0,0,2021
1101,Alenquer,T,HM,012,16 anos,T,Total,0,0,2021
1101,Alenquer,T,HM,015,19 anos,2,Casado,0,0,2021
1101,Alenquer,T,HM,022,21 anos,4,Divorciado,0,0,2021
1101,Alenquer,T,HM,115,69 anos,1,Solteiro,0,0,2021
1101,Alenquer,T,HM,122,71 anos,1,Solteiro,0,0,2021
